kume,kol,LFR dogru,LFR yanlis,fark,n dogru,n yanlis,MWU p
RSNA,raw,0.009798302238909855,0.014194840540294535,-0.0043965383013846795,400,100,0.09997797443284773
RSNA,roi,0.04402642418701842,0.03928369746600555,0.00474272672101287,435,65,0.1782293622519473
RSNA,lung,0.9521485209465027,0.9483197212219239,0.0038287997245788352,420,80,0.08937517101802685
NIH,raw,0.01299813456008904,0.02291994094495014,-0.009921806384861098,307,193,0.4159063597045938
NIH,roi,0.04188621477056432,0.060768390105628775,-0.018882175335064456,331,169,0.23048961039450988
NIH,lung,0.9475480182940915,0.9566859408710779,-0.009137922576986424,322,178,0.17155032646843615
