kume,kol,n,ort,ss,medyan,"<0,05",">0,50"
Ic test,raw,120,0.004997340134514161,0.011253848850061645,0.0,0.9833333333333333,0.0
Ic test,roi,120,0.11122606866204782,0.1299582086913111,0.06261035241186619,0.475,0.016666666666666666
Ic test,lung,120,0.9090446467200916,0.07650313623270624,0.9265786111354828,0.0,1.0
RSNA,raw,500,0.01067760989918679,0.03651380504409191,0.0,0.936,0.0
RSNA,roi,500,0.04340986971328675,0.08576618434052888,0.0015853223158046603,0.786,0.002
RSNA,lung,500,0.95153591299057,0.046533473797905546,0.9635955989360809,0.0,1.0
NIH,raw,500,0.016827951824645426,0.057811551323369716,0.0,0.922,0.0
NIH,roi,500,0.048268390033816104,0.09742040895807262,0.0008544950105715543,0.78,0.0
NIH,lung,500,0.9508011187314988,0.04906075819734304,0.9646214544773102,0.0,1.0
