kume,karsilastirma,n,medyan fark,GA alt,GA ust,Wilcoxon p,ustun oran
RSNA,lung - raw,500,0.9553489685058594,0.9501452318218071,0.9600085592537653,1.2581865376227064e-83,1.0
RSNA,lung - roi,500,0.9429497458040714,0.937426979409065,0.9472612473648041,1.2639048342765752e-83,1.0
RSNA,roi - raw,500,0.0006074655102565885,0.0,0.0016480773338116705,6.106572503019401e-33,0.536
NIH,lung - raw,500,0.9565161764621735,0.9509787559509277,0.9622011564799322,1.261476961606241e-83,1.0
NIH,lung - roi,500,0.9402233734726906,0.9318955205380917,0.9456528723239899,1.2623975311864695e-83,1.0
NIH,roi - raw,500,0.0,0.0,0.00043981645940220475,9.802689095465096e-26,0.488
