kume,kol,AUC_GA_alt,AUC_GA_ust
Ic test,raw,0.9960664223251028,0.9994748799725651
Ic test,roi,0.9957291130829903,0.9989714613340193
Ic test,lung,0.9963238918895747,0.9994376393175584
RSNA (yetiskin),raw,0.8944092968749999,0.9360077343750001
RSNA (yetiskin),roi,0.8962464062500001,0.937586015625
RSNA (yetiskin),lung,0.907129609375,0.9434941406250001
NIH ChestX-ray14,raw,0.64053046875,0.7131442968749999
NIH ChestX-ray14,roi,0.6401046093749999,0.713556328125
NIH ChestX-ray14,lung,0.650379453125,0.7242957031249999
