kume,kol,N,AUC,AP,Acc,F1,Duyarlilik,Ozgulluk,Brier,ECE
Ic test,raw,864,0.9981299296982167,0.9983127635900589,0.9803240740740741,0.9803012741211357,0.9791666666644001,0.9814814814792095,0.016127247741155835,0.01372719635872741
Ic test,roi,864,0.9976262431412894,0.9976720076754179,0.9733796296296297,0.973036341819021,0.9606481481459245,0.9861111111088284,0.02314781620148237,0.02277261141312518
Ic test,lung,864,0.9981513631687242,0.998339409229605,0.9826388888888888,0.9824561398486344,0.9722222222199717,0.9930555555532569,0.013942720363270919,0.01280741297254011
RSNA (yetiskin),raw,800,0.9162718750000001,0.8986342704655454,0.785,0.8174097659639786,0.9624999999975937,0.6074999999984813,0.19370854876340424,0.1984735491573838
RSNA (yetiskin),roi,800,0.9182250000000001,0.8897640077801692,0.85,0.8611111106118613,0.929999999997675,0.769999999998075,0.1424743430346378,0.14328942758241509
RSNA (yetiskin),lung,800,0.926446875,0.9201277033648063,0.82125,0.8430296372662748,0.9599999999976,0.6824999999982938,0.17334668572631312,0.17421876887657392
NIH ChestX-ray14,raw,800,0.678675,0.6466947511905752,0.60625,0.6821392527967123,0.8449999999978876,0.3674999999990813,0.3666962236133407,0.3652711407686366
NIH ChestX-ray14,roi,800,0.67855,0.6447609128434948,0.63875,0.6756453418157079,0.7524999999981188,0.5249999999986875,0.3498549619175678,0.3454622302345093
NIH ChestX-ray14,lung,800,0.6886562500000001,0.6538143616185076,0.6425,0.6950959483366325,0.8149999999979626,0.469999999998825,0.3483042862219328,0.3465963542306326
