kume,kol,N,AUC,AP,Acc,F1,Duyarlilik,Ozgulluk,Brier,ECE
RSNA (yetiskin),raw,2000,0.9137685,0.8931700859989148,0.7755,0.811582038958311,0.966999999999033,0.583999999999416,0.20574584220688125,0.21031798657128997
RSNA (yetiskin),roi,2000,0.910459,0.8752097569311963,0.832,0.84713375746507,0.930999999999069,0.732999999999267,0.15858959433806968,0.15791543294341587
RSNA (yetiskin),lung,2000,0.9236195,0.9098987197361729,0.816,0.8394415352839971,0.961999999999038,0.66999999999933,0.1771811835396486,0.17762190941687458
NIH ChestX-ray14,raw,2862,0.6949680651208808,0.669377079846831,0.6156533892382949,0.6857142852305078,0.8385744234794978,0.3927323549962315,0.36389832474919676,0.35945619697470726
NIH ChestX-ray14,roi,2862,0.7029899973678568,0.668317920345689,0.649895178197065,0.6864831033848809,0.7665967854641743,0.5331935709290474,0.33765115298504733,0.33103223103947166
NIH ChestX-ray14,lung,2862,0.7048039297554745,0.6701119687434228,0.6470999301187981,0.6985074621967602,0.8176100628925104,0.4765897973441813,0.34337824736792355,0.3403833294396965
