kume,kol,kosul,alan,AUC,dAUC,GA alt,GA ust,DeLong p,net etki
Ic test,raw,lungs,0.24692886594742067,0.9895940500685871,0.00853587962962954,0.004487498928326459,0.013375557270233212,0.00021193043328371353,0.004050925925925819
Ic test,raw,non_lungs,0.7530711340525795,0.7798514660493828,0.21827846364883385,0.18916069208676262,0.24963978373628262,0.0,
Ic test,raw,corners,0.19140625,0.998119212962963,1.0716735253657461e-05,-0.001487080975651689,0.0013020833333334287,0.9880035230649482,-0.001328875171467736
Ic test,raw,border,0.2955994897959183,0.9895404663923182,0.008589463305898493,0.004583413708847692,0.013895184970850434,0.00015550972484090764,0.0042009602194788
Ic test,raw,subdiaphragm,0.28125,0.996141975308642,0.0019879543895746643,0.00013650441529501067,0.004187698259602229,0.05622013706508078,-0.0024005486968450285
Ic test,raw,upper,0.20089285714285718,0.9947514789094649,0.0033784507887517634,0.0012375150034293597,0.006463530949931391,0.008425284393303034,0.00203885888203037
Ic test,raw,center,0.19642857142857142,0.9961526920438958,0.001977237654320896,0.0006241158693415377,0.0036947284379287145,0.014892662865276352,0.0006376457475995023
Ic test,raw,rand_lungs,0.24695541600971985,0.993644975994513,0.00448495370370372,0.0017679933984910078,0.00775945216049379,0.0022774802638578784,
Ic test,raw,rand_20,0.1999703405125071,0.9967903377914953,0.0013395919067213935,-0.0006009409293551815,0.0035319680212619648,0.19569572454382533,
Ic test,raw,rand_30,0.29998110355253216,0.993741426611797,0.004388503086419693,0.0012456865140603318,0.008729316700960332,0.022113432671120314,
Ic test,roi,lungs,0.4062139924871858,0.97468707133059,0.022939171810699488,0.01591408393347046,0.031007399905692675,9.228900310631616e-09,0.012886874142661098
Ic test,roi,non_lungs,0.5937860075128141,0.965642146776406,0.03198409636488342,0.02270059049211249,0.043228228952331936,4.803195619018652e-10,
Ic test,roi,corners,0.19140625,0.9941057956104252,0.0035204475308642236,0.0010499721364882974,0.006920465749314144,0.017688003383409034,0.00238983196159126
Ic test,roi,border,0.2955994897959183,0.9914614411865569,0.006164801954732568,0.0023306219993141364,0.011568313828875245,0.005234560925671872,-0.0015030221193413906
Ic test,roi,subdiaphragm,0.28125,0.9905719521604939,0.0070542909807955745,0.003829826281721607,0.011347013245884767,0.00011202287611355999,-0.0006135330932783845
Ic test,roi,upper,0.20089285714285718,0.9954319915980795,0.0021942515432099574,0.0002998006687242871,0.004574773341049409,0.03804352666002142,0.0010636359739369938
Ic test,roi,center,0.19642857142857142,0.9938968192729767,0.0037294238683127645,0.0013528538665981277,0.006636472265088996,0.004657746262225482,0.002598808299039801
Ic test,roi,rand_lungs,0.4061389326238307,0.9875739454732511,0.01005229766803839,0.005349124442729669,0.015456613297325023,0.00011654059641630354,
Ic test,roi,rand_20,0.19995763062169314,0.9964956275720165,0.0011306155692729636,-0.0002921649948558869,0.002612338177297601,0.115763191431832,
Ic test,roi,rand_30,0.30001480437009875,0.9899584190672155,0.007667824074073959,0.00424530071159124,0.011710846407750322,7.012335801537262e-05,
Ic test,lung,lungs,0.4062139924871858,0.7394922410836762,0.25865912208504804,0.22604648919753076,0.2914503225737311,0.0,0.2269965277777779
Ic test,lung,non_lungs,0.5937860075128141,0.9967635459533608,0.0013878172153634072,0.0005733453360768914,0.0024755658436214135,0.0025439481089113425,
Ic test,lung,corners,0.19140625,0.9968117712620028,0.0013395919067213935,7.501714677637938e-05,0.003161436899862871,0.09307296293149436,-0.007255229766803928
Ic test,lung,border,0.2955994897959183,0.996565286351166,0.0015860768175581796,-0.00021513846021945778,0.003895801183127624,0.12227600945557926,-0.01600544410150917
Ic test,lung,subdiaphragm,0.28125,0.9947487997256516,0.0034025634430726592,0.0016957893947186608,0.005583686985596829,0.0004040733214945025,-0.01418895747599469
