kume,kol,ort,ss,n
Ic test,lung,0.997617312528578,0.0009436256293230348,3
Ic test,raw,0.9980406235711019,0.0006210469053895912,3
Ic test,roi,0.9972993827160493,0.0002908858356511557,3
NIH ChestX-ray14,lung,0.6874072916666667,0.00395845408258812,3
NIH ChestX-ray14,raw,0.6758406250000001,0.017422223090693023,3
NIH ChestX-ray14,roi,0.678215625,0.0031274974395473086,3
RSNA (yetiskin),lung,0.9179614583333334,0.009086109512200883,3
RSNA (yetiskin),raw,0.9153958333333333,0.005222586850542415,3
RSNA (yetiskin),roi,0.9191375,0.0027952806209752498,3
