kume,karsilastirma,tohum sayisi,dAUC ort,dAUC ss,gurultu tabani,etki/gurultu,t p
Ic test,lung - raw,3,-0.00042331104252402163,0.0014893852469905374,0.000782336267356313,0.541085796718185,0.6712525614568673
Ic test,lung - roi,3,0.000317929812528539,0.0009074065055702877,0.0006172557324870952,0.5150698418749572,0.6056577363304637
Ic test,roi - raw,3,-0.0007412408550525607,0.0005864985695865453,0.0004559663705203734,1.6256480805955418,0.16004120854529208
RSNA (yetiskin),lung - raw,3,0.002565624999999979,0.012405915848774445,0.007154348181371648,0.35861058687083514,0.7544681418274295
RSNA (yetiskin),lung - roi,3,-0.0011760416666666644,0.011429840473742691,0.005940695066588066,0.19796364793759788,0.8749721052095087
RSNA (yetiskin),roi - raw,3,0.003741666666666643,0.002929000891764659,0.0040089337357588324,0.9333321310082469,0.15740694195928404
NIH ChestX-ray14,lung - raw,3,0.011566666666666689,0.021100967360946053,0.010690338586640572,1.0819738376781856,0.4426085731625432
NIH ChestX-ray14,lung - roi,3,0.009191666666666634,0.006967043886816977,0.0035429757610677143,2.594335182213221,0.14967226510020837
NIH ChestX-ray14,roi - raw,3,0.002375000000000053,0.014299232729088169,0.010274860265120166,0.23114669579132002,0.8006611987596937
