kume,kol,N,AUC,AP,Acc,F1,Duyarlilik,Ozgulluk,Brier,ECE
Ic test,raw,864,0.9986925582990398,0.9987942470595219,0.9803240740740741,0.9802095454814367,0.9745370370347812,0.9861111111088284,0.013784964816028731,0.009675723642835168
Ic test,roi,864,0.9980441958161865,0.9980456509180714,0.9699074074074074,0.9697674413582206,0.9652777777755434,0.9745370370347812,0.01969306289218227,0.018438160509470423
Ic test,lung,864,0.9982210219478738,0.9983798199995638,0.9837962962962963,0.9836829831807151,0.9768518518495907,0.9907407407384474,0.014308345121281393,0.014978969195605412
RSNA (yetiskin),raw,800,0.9226593750000001,0.9137633035524508,0.7925,0.8226495721583708,0.9624999999975937,0.6224999999984437,0.1813033904319696,0.18778874998479828
RSNA (yetiskin),roi,800,0.927028125,0.9186816814314763,0.8525,0.8634259254266707,0.9324999999976687,0.7724999999980687,0.12613829506765015,0.11760506036808309
RSNA (yetiskin),lung,800,0.923215625,0.9132172069005566,0.81875,0.840834247584611,0.9574999999976063,0.6799999999983,0.16289534132382757,0.17115336565682657
NIH ChestX-ray14,raw,800,0.6752968749999999,0.6327237134859985,0.61375,0.6856561541446213,0.8424999999978938,0.3849999999990375,0.3520675133087843,0.342156753252463
NIH ChestX-ray14,roi,800,0.6843625,0.6637541255735744,0.63125,0.6681664786936091,0.7424999999981438,0.5199999999987001,0.3338679508693651,0.31957448337019967
NIH ChestX-ray14,lung,800,0.6900531249999999,0.6505556340688342,0.63875,0.6922257716074586,0.8124999999979687,0.4649999999988375,0.34002700647040657,0.32975970849599734
